prof_id;ul_ref;rs_courte
P12000001;302135561;Lafarge Ciments
P12000002;414811968;Lafarge Béton
P12000003;351279641;Lafarge Granulats
P12000004;954506077;Renault Trucks
P12000005;775663438;RATP
P12000021;300349636;Seb France
P12000023;330703844;Capgemini
P12000024;380129866;Orange
P12000025;557350253;Lactalis
P12000026;301940219;Sodexo France
P12000029;794661470;Altice France
P12000032;393525852;Nexans câbles 
P12000034;542010053;Esso SAF
P12000035;424985281;EMCF
P12000051;055800296;FNAC
P13000007;410409015;Auchan Retail
P13000008;345197552;Auchan Autres
P13000009;969201532;Auchan Immo
P13000014;323623603;Atos France
P13000066;552016628;ADP
P13000074;672039971;Danone Lait
P13000075;797080850;Danone Eaux
P13000091;552142200;Vallourec Fr
P13000092;572139996;VNC ATR
P13000093;320229644;VNC CCS
P13000094;410335855;VNC CTR
P13000095;391635844;VNC - ENG
P13000096;420948226;VNC ERV
P13000097;303356976;VNC IMO
P13000102;421100645;La Banque Postale
P13000103;326300159;TF1
P13000104;397480930;Bouygues Telecom
P13000105;552045999;Bouygues Construction
P13000106;552025314;Colas
P13000107;562091546;Bouygues Immobilier
P13000108;572015246;Bouygues SA et filiales diverses
P13000120;432766947;FTV
P13000121;552043002;Air France KLM
P13000123;304497852;Securitas France
P13000127;632012100;L'OREAL COSMETIQUE
P13000129;575680350;ARC
P13000130;552030967;Valeo France
P13000135;389191982;ALSTOM TRANSPORT FRANCE
P13000142;421259615;LEGRAND FRANCE
P13000145;722003936;McDonald's France 
P13000146;998823504;Recrutement
P13000161;552037806;VNC HLD
P13000168;411787567;Altedia
P13000202;301374922;Danone Nutrition médicale
P15000001;441133808;DCNS France
P15000003;356000000;La Poste Courrier-Colis-Services
P15000004;340012392;Geopost
P15000006;409160132;Total Amont
P15000007;692004807;Total Raffinage Chimie
P15000008;542034921;Total Marketing Service
P15000009;542051180;Total Holding
P15000010;352383715;Airbus Helicopters
P15000011;428764682;GE_energie_infrastructures
P15000013;315013359;GE Médical
P16000001;393341516;Airbus Defence&Space
P16000008;808332670;Groupe SNCF France
P17000001;672050085;Carrefour France
P17000002;333916385;EIFFAGE
P17000003;330956871;ORANO
P17000004;395030844;SANOFI
P17000005;478613169;HTM
P17000006;326769379;SONEPAR
P17000007;383474814;Airbus Aircraft
P17000008;562082909;SAFRAN FRANCE
P17000009;379134166;VOLVO FRANCE
P17000010;456500537;DALKIA
P17000012;402975825;TOTAL GAZ ET RENOUVELABLE
P17000013;542105572;
P18000001;552059024;THALES OTHER
P18000002;552081317;EDF SA
P18000003;552096281;ALQ - GSF
P18000004;487735292;ALQ MGT
P18000005;420499311;ALQ ICF
P18000006;339105553;SGB DTB
P18000007;542005376;FAURECIA
P18000008;552100554;PSA Auto France
P18000009;509553459;Vins Spiritueux LVMH
P18000010;775670417;Louis Vuitton LVMH
P18000011;612035832;Ch Dior Couture LVMH
P18000012;572034361;Fashion Group LVMH
P18000013;552065187;Parfums Ch Dior LVMH
P18000014;393712286;Sephora LVMH
P18000015;414728337;Le Bon Marché LVMH
P18000016;349037366;Presse LVMH
P18000018;784393530;Rubis
P18000019;343406732;Euronext
P18000020;702012956;Altran
P18000021;421199274;Tarkett
P18000022;501651616;Aperam
P18000023;483385142;Eurotunnel
P18000024;855200887;Michelin
P18000025;419838529;Ipsen
P18000026;542107651;
P18000027;444256986;
P18000028;542103270;ENGIE RESEAUX Bo C
P18000029;552108797;
P18000030;441639465;RNT AUT
P18000031;329892368;RNT LOC
P18000032;602036444;ACR GHF
P18000033;508690765;ACR NAF
P18000034;420462046;ACI
P19000002;879443539;RNT MOB
P19000003;542039532;SGB IND
P19000004;305756413;SGB SHP
